Rep,Col-0,Rep,Med19-1,Rep,Med15,Rep,Med19a-2,Rep,GFP,Rep,OE_med19-1,Rep,OE_med19-2,Rep,med21,Rep,Med25,Rep,C2,Rep,C1
1.00,61.25,1.00,78.13,1.00,76.25,1.00,100.00,1.00,30.68,1.00,6.25,1.00,16.43,1.00,64.29,1.00,14.58,1.00,43.75,1.00,48.08
1.00,45.31,1.00,32.81,1.00,42.76,1.00,79.86,1.00,31.82,1.00,52.04,1.00,40.82,1.00,11.25,1.00,19.87,1.00,84.38,1.00,55.56
1.00,56.25,1.00,95.31,1.00,103.13,1.00,99.11,1.00,78.41,1.00,40.48,1.00,39.29,1.00,21.20,1.00,15.74,1.00,31.91,1.00,166.67
1.00,57.03,1.00,71.14,1.00,47.22,1.00,218.06,1.00,39.77,1.00,56.25,1.00,22.45,1.00,45.83,1.00,34.03,1.00,34.82,1.00,9.38
1.00,28.13,1.00,72.50,1.00,123.21,1.00,84.38,1.00,86.36,1.00,35.71,1.00,67.14,1.00,28.85,1.00,13.84,1.00,92.11,1.00,21.01
1.00,58.75,1.00,85.42,1.00,114.29,1.00,79.17,1.00,42.05,1.00,10.20,1.00,5.71,1.00,15.63,1.00,31.25,2.00,133.33,1.00,0.00
1.00,50.00,1.00,73.44,2.00,173.21,1.00,89.29,1.00,71.59,1.00,40.82,1.00,80.95,1.00,37.50,1.00,41.88,2.00,63.16,1.00,25.00
1.00,80.00,1.00,67.19,2.00,53.57,1.00,76.25,1.00,68.18,1.00,17.53,1.00,21.43,1.00,30.98,1.00,21.05,2.00,84.62,1.00,43.75
1.00,73.96,1.00,89.58,2.00,95.70,1.00,141.25,1.00,52.27,1.00,3.37,1.00,17.86,1.00,70.00,1.00,88.75,2.00,22.22,1.00,166.67
2.00,37.50,1.00,45.83,2.00,126.60,1.00,45.83,2.00,58.13,2.00,26.56,2.00,10.42,2.00,53.13,2.00,18.23,2.00,0.00,1.00,50.00
2.00,48.44,2.00,61.76,2.00,101.56,2.00,38.89,2.00,27.50,2.00,37.50,2.00,3.33,2.00,30.26,2.00,24.84,,,2.00,0.00
2.00,83.33,2.00,41.67,2.00,86.11,2.00,96.43,2.00,36.75,2.00,45.31,2.00,8.33,2.00,42.50,2.00,19.68,,,2.00,25.00
2.00,84.38,2.00,37.50,,,2.00,112.50,2.00,73.75,2.00,20.31,2.00,25.00,2.00,64.29,2.00,42.53,,,2.00,43.75
2.00,42.50,2.00,72.22,,,2.00,67.35,2.00,83.00,2.00,59.38,2.00,13.33,2.00,62.50,2.00,17.30,,,2.00,166.67
2.00,20.83,2.00,95.00,,,2.00,75.00,2.00,26.88,2.00,18.75,2.00,25.00,2.00,15.00,2.00,39.06,,,2.00,50.00
2.00,75.00,2.00,128.13,,,2.00,83.33,2.00,26.67,2.00,31.25,2.00,31.25,2.00,29.17,2.00,52.34,,,,
2.00,29.17,2.00,100.00,,,2.00,56.94,2.00,19.25,2.00,10.94,2.00,26.39,2.00,59.62,2.00,26.32,,,,
2.00,47.22,2.00,38.89,,,2.00,91.67,2.00,34.25,2.00,25.00,2.00,15.28,2.00,41.07,2.00,110.94,,,,
3.00,16.88,3.00,44.32,,,3.00,75.00,3.00,42.86,3.00,7.81,3.00,0.00,,,,,,,,
3.00,71.15,3.00,89.29,,,3.00,56.25,3.00,18.75,3.00,21.88,3.00,36.11,,,,,,,,
3.00,71.15,3.00,60.71,,,3.00,112.50,3.00,33.33,3.00,7.81,3.00,30.56,,,,,,,,
3.00,38.89,3.00,45.31,,,3.00,84.38,3.00,45.31,3.00,8.75,3.00,19.44,,,,,,,,
3.00,40.00,3.00,67.19,,,3.00,42.19,3.00,81.94,3.00,4.17,3.00,63.89,,,,,,,,
3.00,38.00,3.00,42.86,,,,,3.00,38.64,3.00,8.33,3.00,16.67,,,,,,,,
3.00,77.94,3.00,92.19,,,,,3.00,37.50,3.00,4.86,3.00,55.56,,,,,,,,
3.00,40.48,3.00,77.08,,,,,3.00,115.00,3.00,9.38,3.00,19.44,,,,,,,,
4.00,100.00,3.00,46.43,,,,,3.00,37.50,3.00,2.08,3.00,8.33,,,,,,,,
4.00,26.56,,,,,,,,,,,,,,,,,,,,
4.00,47.22,,,,,,,,,,,,,,,,,,,,
4.00,78.57,,,,,,,,,,,,,,,,,,,,
4.00,70.83,,,,,,,,,,,,,,,,,,,,
4.00,71.88,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
